countryid;country;cntry_code;year;aidcap;raidcap;infmort;infmort_2;pop;raid;civlib;polright;civil_polrts;goveff;regqual;rgdpcap1;rgdpcap;rgdcap_2;popmil;popmil_2;deflator;y1;y2;y3
111;Sri Lanka;110;2003;34937;33.00464501;13;169;19231760;634.7453328;3;3;6;-0.13;0.19;896.2880719;3543;12552849;19232;369.869824;0.9446903;0;0;1
112;St. Kitts and Nevis;111;1995;95.85366;104.0848247;25;625;41000;4.267477813;2;1;3;-0.24;-0.14;6111.095403;9281;86136961;41;0.001681;1.0858722;1;0;0
112;St. Kitts and Nevis;111;2000;88.28178;88.28178;21;441;44290;3.88439832;2;1;3;0.11;0.28;7441.693385;11426;130553476;44;0.001936;1;0;1;0
113;St. Lucia;112;1995;331.7519;360.2401655;18;324;145440;52.234824;2;1;3;0.36;-0.14;4187.081841;5528;30558784;145;0.021025;1.0858722;1;0;0
113;St. Lucia;112;2000;70.38461;70.38461;17;289;156000;10.97999916;2;1;3;0.16;0.28;4379.487179;5620;31584400;156;0.024336;1;0;1;0
113;St. Lucia;112;2003;92.28585;87.18154732;16;256;160588;14.03622912;2;1;3;0.1;0.3;4080.825847;5447;29669809;161;0.025921;0.9446903;0;0;1
114;St. Vincent and the Grenadines;113;1995;429.3694;466.240295;18;324;111000;51.75267275;1;2;3;-0.27;-0.21;2606.890565;4679;21893041;111;0.012321;1.0858722;1;0;0
114;St. Vincent and the Grenadines;113;2000;55.0942;55.0942;21;441;111990;6.1705504;1;2;3;-0.01;0.28;2996.29967;5418;29354724;112;0.012544;1;0;1;0
114;St. Vincent and the Grenadines;113;2003;57.98615;54.77895344;23;529;109164;5.970905925;1;2;3;0.02;0.31;3256.416626;5882;34597924;109;0.011881;0.9446903;0;0;1
115;Sudan;114;1995;8.631976;9.373222769;69;4761;28077000;263.1719757;7;7;14;-1.53;-1.67;278.2412054;1411;1990921;28077;788.317929;1.0858722;1;0;0
115;Sudan;114;2000;7.169895;7.169895;65;4225;31437000;225.3999891;7;7;14;-1.46;-0.84;387.8099055;1767;3122289;31437;988.284969;1;0;1;0
115;Sudan;114;2003;18.5198;17.49547542;63;3969;33545730;586.9032184;7;7;14;-1.19;-1.11;501.033738;1816;3297856;33546;1125.334116;0.9446903;0;0;1
116;Swaziland;115;1995;64.55556;70.09908796;78;6084;900000;63.08917916;5;6;11;-0.45;0.02;1646.200353;4191;17564481;0.9;0.81;1.0858722;1;0;0
116;Swaziland;115;2000;12.62201;12.62201;98;9604;1045000;13.19000045;5;6;11;-0.55;-0.37;1328.02488;4394;19307236;1045;1.092025;1;0;1;0
116;Swaziland;115;2003;24.49515;23.1403306;105;11025;1105525;25.59320564;5;7;12;-0.5;-0.25;1626.689147;4587;21040569;1106;1.223236;0.9446903;0;0;1
117;Syrian Arab Republic;116;1995;25.26194;27.43123836;26;676;14221000;390.0996407;7;7;14;-0.43;-1.03;870.2180269;3162;9998244;14221;202.236841;1.0858722;1;0;0
117;Syrian Arab Republic;116;2000;9.78751;9.78751;19;361;16189000;158.4499994;7;7;14;-0.83;-0.78;1114.509235;3345;11189025;16189;262.083721;1;0;1;0
117;Syrian Arab Republic;116;2003;9.223163;8.713032621;16;256;17384490;151.4673591;7;7;14;-0.65;-1.07;1166.713977;3515;12355225;17384;302.203456;0.9446903;0;0;1
118;Tajikistan;117;1995;11.20823;12.17070537;89;7921;5835000;71.01606583;7;7;14;-1.47;-1.88;229.1819348;823;677329;5835;34.047225;1.0858722;1;0;0
118;Tajikistan;117;2000;20.24679;20.24679;80;6400;6159000;124.6999796;6;6;12;-1.39;-1.33;160.9006007;803;644809;6159;37.933281;1;0;1;0
118;Tajikistan;117;2003;22.65409;21.40109908;76;5776;6360000;136.1109901;5;6;11;-1.09;-1.21;230.6568314;1030;1060900;6.36;40.4496;0.9446903;0;0;1
119;Tanzania;118;1995;29.59657;32.13809258;103;10609;29646000;952.7658926;5;5;10;-1.18;-0.52;192.4885571;486;236196;29646;878.885316;1.0858722;1;0;0
119;Tanzania;118;2000;30.3309;30.3309;104;10816;33696000;1022.030006;4;4;8;-0.28;0.07;269.4462844;517;267289;33696;1135.420416;1;0;1;0
119;Tanzania;118;2003;46.51319;43.94055942;104;10816;35888960;1576.982737;3;4;7;-0.43;-0.52;271.0386851;587;344569;35889;1288.020321;0.9446903;0;0;1
120;Thailand;119;1995;14.32469;15.55478264;29;841;58610000;911.6658105;4;3;7;0.47;0.49;3110.619036;6438;41447844;58.61;3435.1321;1.0858722;1;0;0
120;Thailand;119;2000;11.4998;11.4998;25;625;60728000;698.3598544;3;2;5;0.2;0.7;2020.89975;6350;40322500;60728;3687.889984;1;0;1;0
121;Togo;120;1995;49.70277;53.97085621;83;6889;3869000;208.8132427;5;6;11;-0.66;0.24;367.4898566;1527;2331729;3869;14.969161;1.0858722;1;0;0
121;Togo;120;2000;15.29811;15.29811;80;6400;4562000;69.78997782;5;5;10;-1.4;-0.47;291.3437089;1580;2496400;4562;20.811844;1;0;1;0
121;Togo;120;2003;9.21939;8.709468305;78;6084;4861493;42.33672543;5;6;11;-1.23;-0.69;341.800383;1605;2576025;4861;23.629321;0.9446903;0;0;1
122;Tonga;121;1995;400.8247;435.2443988;20;400;97000;42.21870668;3;5;8;-0.19;-0.14;1731.706445;5758;33154564;97;0.009409;1.0858722;1;0;0
122;Tonga;121;2000;187.8244;187.8244;17;289;100200;18.78244;3;5;8;-0.47;-0.18;1531.556886;6230;38812900;0.1;0.01;1;0;1;0
122;Tonga;121;2003;270.4777;255.5176596;15;225;101524;26.06280128;3;5;8;-0.59;-0.82;1568.106749;6659;44342281;102;0.010404;0.9446903;0;0;1
123;Tunisia;122;1995;8.397432;9.11853796;29;841;8957500;81.68386305;5;6;11;0.49;0.05;2180.702921;5083;25836889;8958;80.245764;1.0858722;1;0;0
123;Tunisia;122;2000;23.29168;23.29168;22;484;9563500;222.7616275;5;6;11;1.24;0.37;2035.695091;6252;39087504;9564;91.470096;1;0;1;0
123;Tunisia;122;2003;30.87355;29.16594321;19;361;9895201;288.5970081;5;6;11;0.62;-0.13;2390.302409;6765;45765225;9895;97.911025;0.9446903;0;0;1
124;Turkey;123;1995;5.081069;5.517391573;50;2500;61737000;340.6272035;5;5;10;0.01;0.51;2978.088538;5845;34164025;61737;3811.457169;1.0858722;1;0;0
124;Turkey;123;2000;4.852715;4.852715;38;1444;67420000;327.1700453;5;4;9;-0.07;0.24;2955.611095;6519;42497361;67.42;4545.4564;1;0;1;0
124;Turkey;123;2003;2.345146;2.215436678;33;1089;70712000;156.6579584;4;3;7;-0.07;-0.01;3211.345834;6677;44582329;70712;5000.186944;0.9446903;0;0;1
125;Turkmenistan;124;1995;6.64133;7.211635618;72;5184;4210000;30.36098595;7;7;14;-1.36;-2.68;631.8182216;3087;9529569;4.21;17.7241;1.0858722;1;0;0
125;Turkmenistan;124;2000;6.786561;6.786561;77;5929;4643000;31.51000272;7;7;14;-1.38;-2.18;614.413095;3668;13454224;4643;21.557449;1;0;1;0
125;Turkmenistan;124;2003;5.586512;5.277523697;79;6241;4863500;25.66987526;7;7;14;-1.44;-2.06;1133.868636;5614;31516996;4864;23.658496;0.9446903;0;0;1
126;Uganda;125;1995;41.18181;44.71818262;92;8464;20274000;906.6164344;4;5;9;-0.37;0.1;308.2807458;1062;1127844;20274;411.035076;1.0858722;1;0;0
126;Uganda;125;2000;35.24473;35.24473;85;7225;23250000;819.4399725;5;6;11;-0.16;0.16;253.2820645;1284;1648656;23.25;540.5625;1;0;1;0
126;Uganda;125;2003;37.95253;35.85338695;81;6561;25280000;906.3736221;4;5;9;-0.4;0.02;235.2983628;1397;1951609;25.28;639.0784;0.9446903;0;0;1
127;Ukraine;126;1995;6.204809;6.737629599;20;400;51531000;347.1967909;4;3;7;-0.61;-0.59;1015.972931;4302;18507204;51531;2655.443961;1.0858722;1;0;0
127;Ukraine;126;2000;10.93311;10.93311;17;289;49501000;541.1998781;4;4;8;-0.78;-1.22;631.5333024;4109;16883881;49501;2450.349001;1;0;1;0
127;Ukraine;126;2003;6.676566;6.307287138;15;225;48355700;304.9951768;4;4;8;-0.71;-0.55;979.4113418;5187;26904969;48356;2338.302736;0.9446903;0;0;1
128;Uruguay;127;1995;21.05345;22.86135607;20;400;3218000;73.56784383;2;2;4;0.61;0.97;6511.744102;8228;67699984;3218;10.355524;1.0858722;1;0;0
128;Uruguay;127;2000;5.252638;5.252638;15;225;3322140;17.44926344;1;1;2;0.71;1.05;6045.964348;8832;78004224;3322;11.035684;1;0;1;0
128;Uruguay;127;2003;4.955362;4.681282414;12;144;3380177;15.82273456;1;1;2;0.52;0.38;3127.594003;7875;62015625;3.38;11.4244;0.9446903;0;0;1
129;Uzbekistan;128;1995;3.68093;3.997019557;62;3844;22785000;91.07209061;7;7;14;-0.89;-1.44;636.2472403;1339;1792921;22785;519.156225;1.0858722;1;0;0
129;Uzbekistan;128;2000;7.541988;7.541988;59;3481;24650000;185.9100042;6;7;13;-0.96;-1.4;558.2300203;1516;2298256;24.65;607.6225;1;0;1;0
129;Uzbekistan;128;2003;7.595154;7.175068311;57;3249;25590000;183.6099981;6;7;13;-1.04;-1.77;373.8932112;1641;2692881;25.59;654.8481;0.9446903;0;0;1
130;Vanuatu;129;1995;271.0214;294.2946039;43;1849;168400;49.44149346;3;1;4;-0.23;-0.06;1469.532643;3289;10817521;168;0.028224;1.0858722;1;0;0
130;Vanuatu;129;2000;232.4873;232.4873;35;1225;197000;45.7999981;3;1;4;-0.47;-0.74;1241.419797;3052;9314704;197;0.038809;1;0;1;0
130;Vanuatu;129;2003;154.2607;145.728587;31;961;210164;30.60300327;2;2;4;-0.44;-0.77;1240.764764;2680;7182400;0.21;0.0441;0.9446903;0;0;1
131;Venezuela, RB;130;1995;1.98884;2.159626066;22;484;22043000;47.60463737;3;3;6;-0.72;-0.08;3812.307489;6122;37478884;22043;485.893849;1.0858722;1;0;0
131;Venezuela, RB;130;2000;3.150014;3.150014;20;400;24311000;76.57999035;5;3;8;-0.83;-0.55;4818.707581;5685;32319225;24311;591.024721;1;0;1;0
131;Venezuela, RB;130;2003;3.200125;3.023127046;18;324;25674000;77.61576378;4;3;7;-1.05;-0.89;3070.0698;4764;22695696;25674;659.154276;0.9446903;0;0;1
132;Vietnam;131;1995;11.47328;12.45851579;32;1024;72980000;909.2224824;7;7;14;-0.1;-0.56;308.5341145;1543;2380849;72.98;5326.0804;1.0858722;1;0;0
132;Vietnam;131;2000;21.41737;21.41737;23;529;78522700;1681.756145;6;7;13;-0.3;-0.65;396.987368;2014;4056196;78523;6165.861529;1;0;1;0
132;Vietnam;131;2003;21.74994;20.54695734;19;361;81314240;1670.755289;6;7;13;-0.3;-0.62;454.9931943;2353;5536609;81314;6611.966596;0.9446903;0;0;1
133;Yemen, Rep.;132;1995;11.12632;12.08176158;89;7921;15200000;183.642776;6;5;11;-0.59;-0.72;302.6366542;753;567009;15.2;231.04;1.0858722;1;0;0
133;Yemen, Rep.;132;2000;15.12753;15.12753;84;7056;17507160;264.8376677;6;5;11;-0.68;-0.43;539.1197087;799;638401;17507;306.495049;1;0;1;0
133;Yemen, Rep.;132;2003;12.67762;11.97642464;82;6724;19173160;229.6239896;5;5;10;-0.84;-0.82;542.0805782;821;674041;19173;367.603929;0.9446903;0;0;1
134;Zambia;133;1995;229.0282;248.6953554;102;10404;8880000;2208.414756;4;3;7;-0.86;0.27;425.2561677;771;594441;8.88;78.8544;1.0858722;1;0;0
134;Zambia;133;2000;80.42788;80.42788;102;10404;9886000;795.1100217;4;5;9;-0.72;0.33;327.5055634;777;603729;9886;97.732996;1;0;1;0
134;Zambia;133;2003;53.8443;50.86618792;102;10404;10402960;529.1609529;4;4;8;-0.8;-0.53;393.6822852;828;685584;10403;108.222409;0.9446903;0;0;1
135;Zimbabwe;134;1995;42.8366;46.51507308;60;3600;11475000;533.7604636;5;5;10;-0.26;-0.87;672.9351111;2611;6817321;11475;131.675625;1.0858722;1;0;0
135;Zimbabwe;134;2000;14.07589;14.07589;73;5329;12650000;178.0600085;5;6;11;-1.13;-1.61;569.5101186;2577;6640929;12.65;160.0225;1;0;1;0
